"maille";"LAT";"LON";"ALT"
483;49.7549;3.1688;75
484;49.7541;3.27967;90
485;49.7532;3.39053;81
486;49.7522;3.50139;99
487;49.7511;3.61225;100
488;49.7499;3.7231;108
489;49.7486;3.83395;125
490;49.7471;3.94479;152
491;49.7456;4.05562;179
492;49.744;4.16645;201
493;49.7423;4.27727;223
494;49.7405;4.38808;230
495;49.7385;4.49889;245
496;49.7365;4.60968;236
497;49.7344;4.72047;176
498;49.7322;4.83124;195
499;49.7298;4.94201;227
500;49.7274;5.05277;311
501;49.7249;5.16351;330
502;49.7222;5.27425;342
503;49.7195;5.38497;358
504;49.7166;5.49568;366
505;49.7137;5.60638;374
506;49.7107;5.71707;372
507;49.7075;5.82774;358
508;49.6148;-1.81122;98
509;49.6186;-1.70079;95
510;49.6222;-1.59035;84
511;49.6258;-1.47989;110
512;49.6292;-1.36942;81
513;49.6325;-1.25893;10
514;49.6667;0.17856;83
515;49.6686;0.28921;109
516;49.6705;0.39986;117
517;49.6722;0.51053;124
518;49.6738;0.6212;128
519;49.6753;0.73188;128
520;49.6767;0.84256;153
521;49.678;0.95325;149
522;49.6793;1.06395;148
523;49.6804;1.17465;152
524;49.6814;1.28535;173
525;49.6823;1.39606;176
526;49.6831;1.50677;149
527;49.6838;1.61749;220
528;49.6844;1.72821;217
529;49.6849;1.83893;204
530;49.6853;1.94966;183
531;49.6856;2.06038;163
532;49.6858;2.17111;131
533;49.6859;2.28184;120
534;49.6859;2.39256;119
535;49.6858;2.50329;91
536;49.6856;2.61402;93
537;49.6853;2.72474;88
538;49.6849;2.83547;85
539;49.6844;2.94619;80
540;49.6838;3.05691;76
541;49.6831;3.16762;91
542;49.6823;3.27834;72
543;49.6814;3.38905;63
544;49.6804;3.49975;70
545;49.6793;3.61045;77
546;49.678;3.72115;79
547;49.6767;3.83184;94
548;49.6753;3.94252;130
549;49.6738;4.0532;144
550;49.6722;4.16387;176
551;49.6705;4.27454;159
552;49.6686;4.38519;171
553;49.6667;4.49584;220
554;49.6647;4.60648;228
555;49.6626;4.71711;245
556;49.6603;4.82773;218
557;49.658;4.93834;226
558;49.6556;5.04895;188
559;49.6531;5.15954;193
560;49.6504;5.27011;266
561;49.6477;5.38068;299
562;49.6449;5.49124;339
563;49.6419;5.60178;336
564;49.6389;5.71231;355
565;49.6358;5.82283;342
566;49.6325;5.93333;332
567;49.5392;-1.91565;10
568;49.5431;-1.8054;73
569;49.5468;-1.69512;88
570;49.5505;-1.58484;106
571;49.554;-1.47453;92
572;49.5574;-1.36421;56
573;49.5607;-1.25388;1
574;49.5929;0.07111;17
575;49.5949;0.18159;88
576;49.5968;0.29209;115
577;49.5986;0.40259;115
578;49.6003;0.5131;131
579;49.602;0.62361;140
580;49.6035;0.73413;134
581;49.6049;0.84466;133
582;49.6062;0.9552;144
583;49.6074;1.06574;161
584;49.6085;1.17628;157
585;49.6095;1.28683;174
586;49.6105;1.39739;206
587;49.6113;1.50794;149
588;49.612;1.6185;178
589;49.6126;1.72907;202
590;49.6131;1.83963;186
591;49.6135;1.9502;177
592;49.6138;2.06077;168
593;49.614;2.17134;168
594;49.6141;2.28191;123
595;49.6141;2.39249;126
596;49.614;2.50306;109
597;49.6138;2.61363;91
598;49.6135;2.7242;96
599;49.6131;2.83477;84
600;49.6126;2.94533;76
601;49.612;3.0559;96
602;49.6113;3.16646;67
603;49.6105;3.27701;63
604;49.6095;3.38757;111
605;49.6085;3.49812;105
606;49.6074;3.60866;77
607;49.6062;3.7192;81
608;49.6049;3.82974;77
609;49.6035;3.94027;103
610;49.602;4.05079;117
611;49.6003;4.1613;130
612;49.5986;4.27181;123
613;49.5968;4.38231;105
614;49.5949;4.49281;150
615;49.5929;4.60329;206
616;49.5908;4.71377;225
617;49.5885;4.82423;187
618;49.5862;4.93469;247
619;49.5838;5.04513;217
620;49.5813;5.15557;242
621;49.5786;5.26599;225
622;49.5759;5.3764;264
623;49.5731;5.48681;262
624;49.5701;5.59719;262
625;49.5671;5.70757;297
626;49.564;5.81793;314
627;49.5607;5.92828;323
628;49.554;6.14893;285
629;49.5505;6.25924;274
630;49.5229;7.03091;407
631;49.5186;7.14108;369
632;49.5141;7.25123;412
633;49.5096;7.36136;349
634;49.5049;7.47147;311
635;49.5002;7.58156;320
636;49.4954;7.69163;268
637;49.4713;-1.79959;56
638;49.4751;-1.68947;87
639;49.4787;-1.57934;48
640;49.4822;-1.46919;31
641;49.4856;-1.35902;33
642;49.489;-1.24884;4
643;49.5211;0.07429;34
644;49.5231;0.18462;52
645;49.525;0.29496;92
646;49.5268;0.4053;112
647;49.5285;0.51566;83
648;49.5301;0.62602;119
649;49.5316;0.73638;63
650;49.5331;0.84676;104
651;49.5344;0.95714;106
652;49.5356;1.06752;129
653;49.5367;1.17791;154
654;49.5377;1.28831;157
655;49.5386;1.39871;175
656;49.5394;1.50911;154
657;49.5401;1.61951;134
658;49.5407;1.72992;152
659;49.5412;1.84033;166
660;49.5416;1.95075;143
661;49.5419;2.06116;153
662;49.5421;2.17158;152
663;49.5422;2.28199;150
664;49.5422;2.39241;133
665;49.5421;2.50282;116
666;49.5419;2.61324;101
667;49.5416;2.72365;87
668;49.5412;2.83407;119
669;49.5407;2.94448;69
670;49.5401;3.05489;63
671;49.5394;3.16529;65
672;49.5386;3.27569;79
673;49.5377;3.38609;139
674;49.5367;3.49649;113
675;49.5356;3.60688;83
676;49.5344;3.71726;114
677;49.5331;3.82764;119
678;49.5316;3.93802;101
679;49.5301;4.04838;96
680;49.5285;4.15874;98
681;49.5268;4.2691;95
682;49.525;4.37944;94
683;49.5231;4.48978;89
684;49.5211;4.60011;122
685;49.5189;4.71043;179
686;49.5167;4.82074;187
687;49.5144;4.93104;227
688;49.512;5.04133;200
689;49.5094;5.15161;201
690;49.5068;5.26188;225
691;49.5041;5.37214;246
692;49.5013;5.48239;266
693;49.4984;5.59262;336
694;49.4953;5.70284;336
695;49.4922;5.81305;368
696;49.489;5.92324;364
697;49.4856;6.03342;333
698;49.4822;6.14359;269
699;49.4787;6.25374;206
700;49.4751;6.36387;233
701;49.4713;6.47399;366
702;49.4468;7.13435;325
703;49.4424;7.24434;371
704;49.4379;7.35432;313
705;49.4332;7.46428;257
706;49.4285;7.57421;278
707;49.4237;7.68413;308
708;49.4187;7.79402;325
709;49.3996;-1.7938;40
710;49.4033;-1.68383;64
711;49.4069;-1.57385;37
712;49.4104;-1.46385;21
713;49.4139;-1.35384;14
714;49.4172;-1.24382;15
715;49.4204;-1.13378;1
716;49.4492;0.07746;1
717;49.4512;0.18764;5
718;49.4531;0.29782;9
719;49.455;0.40801;14
720;49.4567;0.51821;13
721;49.4583;0.62842;38
722;49.4598;0.73863;42
723;49.4612;0.84885;32
724;49.4625;0.95907;70
725;49.4637;1.0693;91
726;49.4648;1.17954;135
727;49.4658;1.28978;147
728;49.4668;1.40002;129
729;49.4676;1.51027;171
730;49.4683;1.62052;187
731;49.4689;1.73077;118
732;49.4694;1.84103;139
733;49.4698;1.95129;143
734;49.4701;2.06155;111
735;49.4703;2.17181;115
736;49.4704;2.28207;115
737;49.4704;2.39233;125
738;49.4703;2.50259;123
739;49.4701;2.61285;84
740;49.4698;2.72311;79
741;49.4694;2.83337;67
742;49.4689;2.94363;64
743;49.4683;3.05388;130
744;49.4676;3.16413;118
745;49.4668;3.27438;128
746;49.4658;3.38462;110
747;49.4648;3.49486;122
748;49.4637;3.6051;128
749;49.4625;3.71533;133
750;49.4612;3.82555;90
751;49.4598;3.93577;79
752;49.4583;4.04598;87
753;49.4567;4.15619;87
754;49.455;4.26639;114
755;49.4531;4.37658;120
756;49.4512;4.48676;119
757;49.4492;4.59694;107
758;49.4471;4.7071;133
759;49.4449;4.81726;187
760;49.4426;4.92741;202
761;49.4402;5.03754;259
762;49.4376;5.14767;217
763;49.435;5.25778;212
764;49.4323;5.36789;222
765;49.4295;5.47798;247
766;49.4265;5.58806;264
767;49.4235;5.69812;286
768;49.4204;5.80818;347
769;49.4172;5.91822;387
770;49.4139;6.02824;373
771;49.4104;6.13825;226
772;49.4069;6.24825;169
773;49.4033;6.35823;246
774;49.3996;6.4682;293
775;49.3957;6.57815;288
776;49.3751;7.12763;317
777;49.3707;7.23748;321
778;49.3661;7.3473;275
779;49.3615;7.4571;336
780;49.3568;7.56689;374
781;49.352;7.67665;366
782;49.347;7.78639;430
783;49.3315;-1.67821;20
784;49.3351;-1.56838;30
785;49.3387;-1.45854;24
786;49.3421;-1.34868;9
787;49.3454;-1.23881;9
788;49.3486;-1.12892;5
789;49.3517;-1.01902;18
790;49.3547;-0.90911;33
791;49.3577;-0.79918;24
792;49.3605;-0.68924;20
793;49.3632;-0.5793;9
794;49.3658;-0.46933;4
795;49.3774;0.08063;33
796;49.3794;0.19065;109
797;49.3813;0.30068;90
798;49.3831;0.41071;79
799;49.3848;0.52076;79
800;49.3864;0.63081;119
801;49.388;0.74087;128
802;49.3894;0.85093;81
803;49.3907;0.961;55
804;49.3919;1.07108;38
805;49.393;1.18116;134
806;49.394;1.29125;139
807;49.3949;1.40133;112
808;49.3957;1.51143;152
809;49.3964;1.62152;146
810;49.397;1.73162;145
811;49.3975;1.84173;184
812;49.3979;1.95183;144
813;49.3982;2.06193;104
814;49.3984;2.17204;78
815;49.3985;2.28215;87
816;49.3985;2.39225;93
817;49.3984;2.50236;99
818;49.3982;2.61247;90
819;49.3979;2.72257;74
820;49.3975;2.83267;50
821;49.397;2.94278;75
822;49.3964;3.05288;93
823;49.3957;3.16297;91
824;49.3949;3.27307;83
825;49.394;3.38315;88
826;49.393;3.49324;89
827;49.3919;3.60332;105
828;49.3907;3.7134;94
829;49.3894;3.82347;85
830;49.388;3.93353;71
831;49.3864;4.04359;74
832;49.3848;4.15364;87
833;49.3831;4.26369;107
834;49.3813;4.37372;116
835;49.3794;4.48375;126
836;49.3774;4.59377;143
837;49.3753;4.70378;115
838;49.3731;4.81379;183
839;49.3707;4.92378;170
840;49.3683;5.03376;235
841;49.3658;5.14373;231
842;49.3632;5.2537;264
843;49.3605;5.36365;254
844;49.3577;5.47358;221
845;49.3547;5.58351;230
846;49.3517;5.69342;265
847;49.3486;5.80332;316
848;49.3454;5.91321;312
849;49.3421;6.02308;301
850;49.3387;6.13294;181
851;49.3351;6.24278;192
852;49.3315;6.35261;245
853;49.3278;6.46242;247
854;49.324;6.57222;244
855;49.3201;6.68199;264
856;49.3034;7.12094;296
857;49.2989;7.23063;283
858;49.2944;7.3403;281
859;49.2898;7.44995;322
860;49.2851;7.55958;332
861;49.2803;7.66919;358
862;49.2753;7.77878;439
863;49.2597;-1.6726;8
864;49.2633;-1.56293;37
865;49.2669;-1.45324;44
866;49.2703;-1.34353;9
867;49.2736;-1.23381;10
868;49.2768;-1.12408;15
869;49.2799;-1.01433;29
870;49.2829;-0.90457;27
871;49.2859;-0.7948;46
872;49.2887;-0.68502;51
873;49.2914;-0.57522;40
874;49.294;-0.46541;38
875;49.2965;-0.35559;26
876;49.2989;-0.24576;5
